Track,Step,Touch Name,Day Offset,Days From Start,Message Template
Owner,1,First Contact,Day 0,0,"Hey, is this the owner of [PROPERTY ADDRESS]?"
Owner,2,First Follow-Up,Day 1,1,"Hi, this is BH Investments. I know you've probably had a lot of people reaching out asking if you want to sell your property. I'm actually reaching out regarding [PROPERTY ADDRESS]. There may be a potential opportunity involving the property and I wanted to see if it's something you'd be open to discussing. Let me know if you're available to chat."
Owner,3,Second Follow-Up,Day 2,2,"Just checking in. We're currently working on something involving a property near [PROPERTY ADDRESS], and your property could potentially be part of that opportunity. Happy to explain what we're looking to do and see if it might make sense for you. Feel free to call or text back whenever you have a moment."
Owner,4,Third Follow-Up,Day 3,3,"Hope all is well. I wouldn't keep following up if I didn't think this might actually be worth your time. It's specifically related to your property at [PROPERTY ADDRESS] and something we're working on nearby. Happy to explain more if you're open to a quick conversation."
Owner,5,Light Check-In,Week 2,14,"Hey, circling back about [PROPERTY ADDRESS]. We're still actively working on something nearby and would love to see if it could include your property. Let me know if anything's changed. – [AGENT NAME]"
Owner,6,Neighborhood Angle,Week 3,21,"Hope you're doing well. Just an update — we recently moved forward on a property near [PROPERTY ADDRESS] and your property still fits what we're putting together. Open to a quick chat? Even 5 minutes would help. – [AGENT NAME]"
Owner,7,Market Signal,Week 5,35,"Hey — wanted to share that activity in your area has picked up. Properties similar to [PROPERTY ADDRESS] have been moving at attractive numbers. If you've thought any more about selling — or just want a sense of what your property could trade at — happy to walk through it with you. – [AGENT NAME]"
Owner,8,Life-Event Probe,Week 7,49,"Hey, hope all's well with you and the family. Sometimes circumstances change — taxes, tenants, repairs, family matters. If anything has shifted with [PROPERTY ADDRESS], I'm here. No pressure either way. – [AGENT NAME]"
Owner,9,Reset,Month 3,90,"Hey, it's been a bit. Just checking in about [PROPERTY ADDRESS] one more time. We're still working on the same neighborhood project. If the timing makes more sense now, I'd love a few minutes. – [AGENT NAME]"
Owner,10,Direct Value Pitch,Month 4,120,"Hi — quick one. We close fast, all cash, no inspections, no commissions, no broker fees. If [PROPERTY ADDRESS] is even something you're considering, let me know and I'll send a number. – [AGENT NAME], BH Investments"
Owner,11,Genuine Final,Month 5,150,"Hey, after this one I'll stop reaching out to keep your inbox clean. If you ever want to revisit a conversation about [PROPERTY ADDRESS], my line stays open. Wishing you well either way. – [AGENT NAME], BH Investments"
Relative,1,Initial Message,Day 1,1,"Hi, this is BH Investments. We're trying to reach the owner of [PROPERTY ADDRESS] regarding the property, and were hoping you might be able to help us get in touch with them."
Relative,2,Follow-Up,Day 2,2,"Hey, just checking in. We're still hoping to connect with the owner of [PROPERTY ADDRESS] regarding the property. If you're able to pass along our information or help us reach them, we'd really appreciate it. – BH Investments"
Relative,3,Follow-Up,Day 3,3,"Hi again, we wouldn't follow up unless we thought this could be something valuable for the property owner. We're working on something nearby and the property at [PROPERTY ADDRESS] may be relevant to what we're doing. If you're able to help us connect with them, we'd truly appreciate it. – BH Investments"
Relative,4,Reframe,Week 2,14,"Hey, hope all is well. Still hoping to reach the owner of [PROPERTY ADDRESS]. If you're able to share our name or number with them, we'd be grateful — even a quick 'they're interested in talking' goes a long way. – BH Investments"
Relative,5,Easier Ask,Week 3,21,"Hi — totally understand if you'd rather not pass info directly. If you can just let them know someone from BH Investments has been trying to reach them about [PROPERTY ADDRESS], that's plenty. Thanks for any help."
Relative,6,Update Angle,Week 5,35,"Hi — circling back. Activity in the area around [PROPERTY ADDRESS] has picked up and we'd still love to talk to the owner. Any way you could help us get connected would mean a lot. – BH Investments"
Relative,7,Empathy + Ease,Week 7,49,"Hey, hope you and the family are doing well. Last few attempts on this — if the owner of [PROPERTY ADDRESS] is open to a quick chat, we'd really appreciate the intro. If not, totally fine. – BH Investments"
Relative,8,Light Re-attempt,Month 3,90,"Hey — back in touch about [PROPERTY ADDRESS]. We're still working on something near there. If the owner is ever open to hearing more, please share my number. – BH Investments"
Relative,9,Direct,Month 4,120,"Hey — quick note. If the owner of [PROPERTY ADDRESS] is open to a clean, fast offer (no inspections, no fees, cash close), please share our info. We're flexible and ready to move when they are. – BH Investments"
Relative,10,Final,Month 5,150,"Hey, after this I'll step back to keep your phone clean. If at any point the owner of [PROPERTY ADDRESS] wants to chat, my number stays open. Thanks for your patience along the way. – BH Investments"
